Sample	percent.kept	orig.cells	kept.cells
SPIRT1Pre-PBMC	0.835849056603774	1060	886
SPIRT1Pre-Skin350	0.864890885750963	3116	2695
SPIRT1Mid-PBMC	0.973233404710921	1868	1818
SPIRT1Mid-Skin375	0.844647519582245	3064	2588
SPIRT2Pre-PBMC	0.967945048654837	1747	1691
SPIRT2Pre-Skin362	0.910386631716907	6104	5557
SPIRT2Mid-PBMC	0.941914191419142	1515	1427
SPIRT2Mid-Skin384	0.677393827486151	3791	2568
SPIRT4Pre-PBMC	0.863636363636364	550	475
SPIRT4Pre-Skin365	0.848383032339353	2381	2020
SPIRT4Mid-PBMC	0.934948979591837	784	733
SPIRT4Mid-Skin396	0.561679790026247	381	214
SPIRT5Pre-PBMC	0.95952023988006	2001	1920
SPIRT5Pre-Skin336	0.893166751657318	7844	7006
SPIRT5Mid-PBMC	0.943843379701185	1941	1832
SPIRT5Mid-Skin397	0.686358511837655	4435	3044
